SKU,product_sold,date,quantity,unit_price,total_price,currency,site,discount_coupon,discount_value,buyer_birth_date,buyer_name,delivery_country,invoice_id
SKU-28XX01,NEW MEGANIUM RG28XX,2024-10-09,5,70,350,USD,Shopee,COUPONRQsQz,55.17,2005-09-11,Lindsay Gentry MD,Japan,2e3d63d9-801b-4165-938c-e5abc890f1be
SKU-35XX01,NEW MEGANIUM RG35XX,2024-09-14,5,90,450,EUR,Shopee,COUPONzOzuT,89.86,1981-11-02,Stephanie Hopkins,Canada,36bc18b3-cb91-4d89-80a2-f86a6898ec5d
SKU-353M01,MEGANIUM RG353M,2024-08-25,5,110,550,USD,Shopee,COUPONHerTy,158.09,1971-12-28,Zachary Murray,Australia,fa219d36-74d4-4864-922a-76fbe5c95ad6
SKU-40XXV01,NEW MEGANIUM RG 40XXV,2024-06-07,5,100,500,EUR,Shopee,COUPONPITuY,115.82,1977-07-26,Judy Schwartz,Canada,02934276-6f9d-4212-9086-575a08c9da77
SKU-40XXV01,NEW MEGANIUM RG 40XXV,2024-07-07,1,100,100,USD,Shopee,COUPONKyPDq,22.1,1995-03-03,Kristin Vaughn,Canada,c1e549d0-c447-407e-bc1a-ae191762823e
SKU-28XX01,NEW MEGANIUM RG28XX,2024-10-20,2,70,140,USD,Shopee,COUPONeGOOd,27.16,1980-09-02,Brendan Collier,Australia,15c45273-cd32-453c-b563-03288ec3b130
SKU-CUBEXX01,NEW MEGANIUM RG CubeXX,2024-05-28,3,80,240,USD,Shopee,COUPONoJTzR,14.04,1974-03-11,Robert Buchanan,Germany,947bddf5-b5c5-4e58-aab9-888478d0daf1
SKU-28XX01,NEW MEGANIUM RG28XX,2024-10-27,3,70,210,GBP,Shopee,COUPONtqsSS,45.03,1997-03-24,Chris Fuller,Canada,a9673d84-dbe7-4620-9571-77dd010a3609
SKU-CUBEXX01,NEW MEGANIUM RG CubeXX,2024-06-24,4,80,320,USD,Shopee,COUPONMCPHI,55.79,1965-10-06,Jeremy Bradley,Australia,5c75b2a0-ceaf-490a-a36c-16c25db8ec13
SKU-CUBEXX01,NEW MEGANIUM RG CubeXX,2024-09-28,2,80,160,EUR,Shopee,COUPONBdZic,45.67,1998-04-18,James Jimenez,Canada,8f6695ed-eb45-4716-8370-b15a94a73528
SKU-40XXV01,NEW MEGANIUM RG 40XXV,2024-08-18,1,100,100,USD,Shopee,COUPONhtUfb,27.04,1982-05-08,Brandon Shepherd,Japan,fe43ffe0-14b9-4267-91c7-508315c28e90
SKU-CUBEXX01,NEW MEGANIUM RG CubeXX,2024-07-08,4,80,320,GBP,Shopee,COUPONGwiWB,66.68,1991-03-16,Joshua Smith,Australia,69ca4af4-2438-499e-9b5b-8764c5da9e83
SKU-353M01,MEGANIUM RG353M,2024-10-02,2,110,220,GBP,Shopee,COUPONBzLXJ,13.66,1981-03-11,Ariel Bond,UK,cc1e64d9-a0c0-47ac-9bba-92afa0247715
SKU-35XX01,NEW MEGANIUM RG35XX,2024-10-27,4,90,360,USD,Shopee,COUPONSylJr,80.99,1972-09-04,Ryan Brown,France,6378762d-309a-4fcd-be2b-ce0ca1e29c6d
SKU-35XX01,NEW MEGANIUM RG35XX,2024-09-03,2,90,180,GBP,AliExpress,COUPONNRpQv,52.47,1974-10-20,Timothy Flowers,Australia,a133114a-6d3b-44ac-a588-04028820762a
SKU-28XX01,NEW MEGANIUM RG28XX,2024-10-16,1,70,70,USD,AliExpress,COUPONSSJQZ,6.71,1991-06-30,Brandy King,Australia,96c63b78-fcd8-45c7-a086-001ec19f1c13
SKU-CUBEXX01,NEW MEGANIUM RG CubeXX,2024-10-02,4,80,320,USD,AliExpress,COUPONWBhjX,29.84,1976-09-17,Louis Davis,Australia,4f24b99e-5627-4478-ad5f-ed7b79cfa2a8
SKU-35XX01,NEW MEGANIUM RG35XX,2024-08-10,4,90,360,GBP,AliExpress,COUPONvRzLS,78.12,2000-11-22,Andrew Miller,UK,2d6b5daf-d8a8-4714-aa57-59bb89d589a3
SKU-40XXV01,NEW MEGANIUM RG 40XXV,2024-05-18,5,100,500,USD,AliExpress,COUPONRbjRy,46.51,1986-05-22,Andrew Moreno,Germany,a856dbb2-cb42-42fd-b071-df636493a294
SKU-CUBEXX01,NEW MEGANIUM RG CubeXX,2024-09-29,1,80,80,GBP,AliExpress,COUPONyRpkm,4.26,1986-12-13,Andrea Morton,Australia,54f3a6b2-7bfd-4c76-b44c-8bdfea36e959
SKU-28XX01,NEW MEGANIUM RG28XX,2024-08-21,4,70,280,USD,AliExpress,COUPONIbCSB,80.49,1971-03-12,Amanda Smith,Germany,804629b7-9a23-44b5-95bf-27cbabb6be72
SKU-CUBEXX01,NEW MEGANIUM RG CubeXX,2024-09-11,2,80,160,GBP,AliExpress,COUPONmRAbK,14.76,1988-07-27,Danielle Adams,Germany,48a8cc40-74b4-42a9-8cd2-99e2fe4119a7
SKU-40XXV01,NEW MEGANIUM RG 40XXV,2024-09-22,1,100,100,EUR,AliExpress,COUPONZxqyW,9.66,1978-08-21,Allison Clark,Germany,8d620c49-ca3b-4e79-8490-ef039091851a
SKU-28XX01,NEW MEGANIUM RG28XX,2024-09-18,4,70,280,GBP,AliExpress,COUPONvsBhY,42.13,1993-02-03,Eric Mcfarland,Canada,2f147605-e7f6-4c75-bd18-a6e51104c351
SKU-CUBEXX01,NEW MEGANIUM RG CubeXX,2024-08-08,1,80,80,EUR,AliExpress,COUPONlyvTS,4.16,1981-01-04,Ian Moore,USA,45d22ce4-d4cb-4347-833c-11835d381dd9
SKU-35XX01,NEW MEGANIUM RG35XX,2024-10-16,4,90,360,USD,AliExpress,COUPONiMelE,105.86,1974-02-05,Ryan Ortega,France,aeec3d2c-24f9-45ec-bf71-c98ec841d29a
SKU-40XXV01,NEW MEGANIUM RG 40XXV,2024-09-08,4,100,400,GBP,AliExpress,COUPONiBxSC,31.22,1971-06-05,Christopher Owens,France,304359a2-072e-4ed4-94c7-ee184e89f1c7
SKU-353M01,MEGANIUM RG353M,2024-08-16,3,110,330,USD,AliExpress,COUPONEDxrS,37.67,1977-12-16,Samantha Turner,UK,9a96b321-ec25-4955-9d9b-13d6044e2650
SKU-CUBEXX01,NEW MEGANIUM RG CubeXX,2024-06-22,4,80,320,EUR,AliExpress,COUPONLqfwV,26.25,1966-07-01,Jose Campbell,France,74d67107-3bb7-4f50-b862-62dc67691b9c
SKU-353M01,MEGANIUM RG353M,2024-08-07,3,110,330,EUR,AliExpress,COUPONmQKZS,36.51,1985-12-12,Valerie Combs,USA,dfd3e6f6-d6e9-43ff-9e8e-d175de4206bf
SKU-353M01,MEGANIUM RG353M,2024-07-02,3,110,330,USD,AliExpress,COUPONGVjyZ,89.46,1989-03-31,Charles Alvarado,Germany,327ef30d-a41d-4d4e-8883-4c170ab4a750
SKU-35XX01,NEW MEGANIUM RG35XX,2024-07-23,3,90,270,EUR,AliExpress,COUPONsSnmd,15.56,2005-01-29,Shane Russell,France,a737b5c3-75b6-427e-8d50-63d14f22ef55
SKU-28XX01,NEW MEGANIUM RG28XX,2024-10-07,4,70,280,USD,AliExpress,COUPONAwQoA,15.48,1988-01-04,James Owens,Canada,f29363aa-8a73-4ee4-a9cb-456d7ef74193
SKU-35XX01,NEW MEGANIUM RG35XX,2024-08-21,1,90,90,GBP,AliExpress,COUPONFdugR,21.56,1995-09-21,Anthony Villanueva,France,21adf522-f705-4417-9d6e-ceadfd13b25f
